WORD,WORD_LOWER,HAP_MEAN,HAP_STD,ANG_MEAN,ANG_STD,SAD_MEAN,SAD_STD,FEA_MEAN,FEA_STD,DIS_MEAN,DIS_STD,BasicEmoCat conservative,BasicEmoCat liberal
ANGRIFF,angriff,1.65,1.182103388,2.6,1.187655807,1.65,1.089422831,3.05,1.316894273,1.15,0.670820393,,FEA
ANGST,angst,1.3,0.923380517,2.5,1.235441536,2.05,1.234376041,3.15,1.308876577,1.45,0.604805319,,FEA
ANKER,anker,2.181818182,1.220318602,1.136363636,0.467562529,1.318181818,0.779887882,1.454545455,1.010764573,1.227272727,0.528413455,,HAP
ANKLAGE,anklage,1.3,0.97872097,2.4,1.273205652,1.5,0.688247202,1.95,1.050062655,1.05,0.223606798,,ANG
ANKLANG,anklang,2.15,1.386969434,1.1,0.447213595,1.1,0.307793506,1,0,1.05,0.223606798,,HAP
ANLEIHE,anleihe,1.25,0.638666374,1.55,0.998683344,1.15,0.366347549,1.35,0.812727701,1.05,0.223606798,,ANG
ANMUT,anmut,3.3,1.301820588,1.4,0.994722918,1.6,1.095445115,1.4,0.940324692,1.2,0.523148364,HAP,HAP
ANNAHME,annahme,1.9,1.165287405,1.1,0.307793506,1.05,0.223606798,1.25,0.638666374,1,0,,HAP
ANOMALIE,anomalie,1.2,0.523148364,1.75,1.069923755,1.85,1.182103388,1.95,1.099042646,1.75,1.118033989,,FEA
ANREGUNG,anregung,2.35,0.933302004,1.15,0.489360485,1,0,1.1,0.447213595,1.05,0.223606798,HAP,HAP
ANREIZ,anreiz,2.375,1.312564698,1.625,0.969648076,1.083333333,0.282329851,1.375,0.646898957,1.333333333,0.564659703,,HAP
ANRUF,anruf,2.80952381,1.364516311,1.571428571,0.9258201,1.238095238,0.700340053,1.619047619,0.864649668,1.238095238,0.624880941,,HAP
ANSPORN,ansporn,3.1,1.372665482,1.15,0.366347549,1,0,1.15,0.366347549,1.05,0.223606798,HAP,HAP
ANTEIL,anteil,1.80952381,1.030487633,1.380952381,0.669043382,1.238095238,0.538958431,1.142857143,0.478091444,1.047619048,0.21821789,,HAP
ANTRAG,antrag,2.375,1.279011167,1.833333333,1.239448218,1.541666667,1.102533315,2.041666667,1.301476308,1.458333333,1.102533315,,HAP
ANTWORT,antwort,2.45,1.276302225,1.05,0.223606798,1.15,0.489360485,1.35,0.587142949,1,0,,HAP
ANWALT,anwalt,1.47826087,0.994053466,2,1.348399725,1.260869565,0.619192385,1.608695652,0.891328449,1.304347826,0.926124997,,ANG
ANZAHL,anzahl,1.181818182,0.501081082,1.090909091,0.294244943,1.045454545,0.213200716,1.136363636,0.351250087,1.045454545,0.213200716,,HAP
APATHIE,apathie,1.25,0.910465468,1.6,0.753937035,2.2,1.105012503,2.05,1.234376041,1.05,0.223606798,,SAD
APFEL,apfel,3.35,1.136708082,1.25,0.638666374,1.3,0.656946685,1.15,0.366347549,1.2,0.410391341,HAP,HAP
APPETIT,appetit,2.65,1.565247584,1.15,0.366347549,1,0,1.1,0.447213595,1.15,0.366347549,,HAP
APPLAUS,applaus,3.55,1.468081455,1.1,0.307793506,1.15,0.489360485,1.25,0.716350399,1,0,HAP,HAP
AQUARIUM,aquarium,2.9,1.209610638,1.15,0.489360485,1.05,0.223606798,1,0,1.1,0.447213595,HAP,HAP
ARBEIT,arbeit,1.727272727,0.88273483,2.090909091,0.971454036,1.363636364,0.657951695,2,1.112697281,1.363636364,0.789542034,,ANG
ARBEITER,arbeiter,1.25,0.550119604,1.3,0.656946685,1.25,0.444261658,1.05,0.223606798,1.25,0.638666374,,ANG
ARCHIV,archiv,1.434782609,0.992063367,1.130434783,0.457696587,1.260869565,0.619192385,1.260869565,0.619192385,1.086956522,0.417028828,,HAP
ÄRGER,ärger,1.45,0.998683344,3.8,1.472555959,1.8,1.105012503,2.2,1.151657844,1.6,0.994722918,ANG,ANG
ÄRGERNIS,ärgernis,1.05,0.223606798,3.7,1.174285897,1.65,1.039989878,1.8,1.23969436,1.3,0.571240571,ANG,ANG
ARGWOHN,argwohn,1.25,0.910465468,2.5,1.235441536,1.25,0.550119604,1.45,0.686332741,1.1,0.307793506,,ANG
ARMEE,armee,1.619047619,1.283596139,3.19047619,1.536848972,2.047619048,1.244033379,3.142857143,1.236354087,2.095238095,1.410842369,,ANG
ARMUT,armut,1.15,0.366347549,3.3,1.260743306,3.3,1.454575359,3.05,1.276302225,1.85,1.225818738,,
AROMA,aroma,3.2,1.321880638,1.45,0.998683344,1.4,0.88257995,1.45,0.998683344,1.7,0.801314709,HAP,HAP
ARREST,arrest,1,0,2.739130435,1.355708178,1.956521739,1.223937791,2.47826087,1.309738531,1.565217391,1.036869719,,ANG
ARROGANZ,arroganz,1.1,0.307793506,3.75,1.164157703,1.35,0.670820393,1.25,0.550119604,1.9,1.293709477,ANG,ANG
ARSCH,arsch,2.65,1.598519051,2.85,1.424411236,1.35,0.587142949,1.3,0.801314709,2,1.414213562,,ANG
ARSEN,arsen,1.35,0.988086934,1.75,1.019545823,1.45,0.998683344,2.6,1.429022485,2.1,1.252366182,,FEA
ARSENAL,arsenal,1.45,0.998683344,1.75,0.910465468,1.2,0.523148364,1.8,1.281446551,1.2,0.615587011,,FEA
ARZT,arzt,1.952380952,1.203170415,2.19047619,1.249761882,1.714285714,1.055597326,2.666666667,1.354006401,1.80952381,1.327367606,,FEA
ASCHE,asche,1.45,0.998683344,1.65,1.039989878,3.2,1.399247918,2.45,1.431782106,1.6,0.940324692,,SAD
ASKESE,askese,1.285714286,0.902377811,1.142857143,0.478091444,1.095238095,0.300792604,1.047619048,0.21821789,1.238095238,0.538958431,,HAP
