Source,Description,Category,Sound ID,BE Classification,AroMN,AroSD,ValMN,ValSD,DomMN,DomSD,FearMN,FearSD,HapMN,HapSD,SadMN,SadSD
Expanded,Suspense Thriller16,Music,1380,F,5.16 ,1.95 ,2.56 ,1.12 ,3.56 ,2.10 ,6.40 ,2.18 ,2.24 ,1.71 ,5.24 ,2.45 
Expanded,Piano9,Music,1381,FS,4.12 ,2.15 ,3.08 ,1.73 ,3.72 ,1.95 ,6.16 ,2.12 ,2.12 ,1.48 ,6.52 ,1.78 
Expanded,Piano10,Music,1381_b,S,4.54 ,1.56 ,3.21 ,1.38 ,5.33 ,1.95 ,4.83 ,1.90 ,2.17 ,1.69 ,6.00 ,1.96 
Expanded,Cat5,Animals ,1382,F,4.95 ,1.43 ,3.91 ,1.34 ,4.27 ,1.72 ,4.14 ,2.68 ,2.27 ,1.24 ,2.73 ,1.96 
Expanded,Electronic Sound1,Electric sound,1383,F,5.00 ,1.38 ,3.59 ,1.10 ,4.55 ,1.74 ,4.41 ,2.42 ,2.23 ,1.51 ,2.64 ,1.68 
Expanded,Electronic Sound2,Electric sound,1384,F,5.71 ,1.46 ,3.46 ,1.50 ,5.00 ,1.89 ,3.83 ,2.24 ,2.58 ,1.53 ,3.04 ,2.18 
Expanded,BabyLaugh1,People,1385,H,5.92 ,1.82 ,5.24 ,2.09 ,5.16 ,2.32 ,2.56 ,2.18 ,5.64 ,2.41 ,2.04 ,1.67 
Expanded,BabyLaugh2,People,1386,F,4.77 ,1.82 ,2.82 ,0.96 ,4.77 ,2.43 ,5.95 ,2.63 ,1.95 ,1.25 ,2.64 ,2.24 
Expanded,BabyLaugh3,People,1387,F,6.58 ,1.32 ,3.46 ,1.91 ,4.29 ,2.29 ,5.92 ,2.41 ,3.42 ,2.47 ,2.21 ,1.41 
Expanded,BabyCry1,People,1388,S,6.42 ,1.53 ,3.42 ,1.28 ,5.83 ,2.22 ,3.17 ,2.14 ,2.13 ,1.45 ,4.42 ,2.52 
Expanded,BabyCry2,People,1389,S,6.24 ,1.69 ,4.16 ,1.70 ,5.68 ,2.32 ,2.64 ,2.02 ,2.84 ,2.03 ,4.12 ,2.68 
Expanded,BabyCry3,People,1390,FS,6.45 ,1.71 ,3.09 ,1.72 ,4.59 ,2.17 ,4.55 ,2.61 ,2.77 ,1.90 ,5.00 ,2.67 
Expanded,Jazz2,Music,1391,H,6.36 ,1.94 ,5.50 ,2.20 ,6.27 ,1.75 ,2.41 ,1.99 ,4.91 ,2.65 ,1.91 ,1.82 
Expanded,Jazz3,Music,1392,F,7.59 ,1.65 ,3.14 ,2.19 ,3.09 ,2.04 ,7.14 ,1.70 ,2.82 ,2.15 ,3.64 ,2.61 
Expanded,Jazz4,Music,1393,H,6.55 ,1.47 ,6.41 ,1.79 ,5.86 ,1.86 ,2.86 ,2.66 ,6.36 ,2.19 ,2.05 ,1.05 
IADS,Cat4,Animals ,102,HS,5.17 ,1.95 ,5.33 ,2.10 ,5.67 ,2.39 ,2.46 ,1.74 ,4.21 ,2.65 ,3.71 ,2.71 
IADS,Panting,Animals ,104,F,5.84 ,1.65 ,3.68 ,1.93 ,5.24 ,2.39 ,4.52 ,2.71 ,3.20 ,2.47 ,2.88 ,2.33 
IADS,Puppy4,Animals ,105,FH,6.36 ,1.73 ,4.50 ,1.92 ,5.50 ,2.13 ,4.55 ,2.84 ,4.05 ,2.75 ,2.95 ,2.44 
