Source,Description,Category,Sound ID,BE Classification,AroMN,AroSD,ValMN,ValSD,DomMN,DomSD,FearMN,FearSD,HapMN,HapSD,SadMN,SadSD
IADS,Rain1,Nature,377,U,3.91 ,1.74 ,5.73 ,2.03 ,6.32 ,1.94 ,2.23 ,1.80 ,3.23 ,2.39 ,2.55 ,1.99 
IADS,Doorbell4,Daily Routine Sound,378,F,6.54 ,1.32 ,3.79 ,1.56 ,5.04 ,2.29 ,4.96 ,2.46 ,2.83 ,1.88 ,2.29 ,1.52 
IADS,JackHammer,Transport,380,F,6.23 ,1.11 ,3.73 ,1.08 ,4.77 ,1.97 ,3.50 ,2.02 ,2.00 ,1.27 ,2.09 ,1.60 
IADS,Shovel,Daily Routine Sound,382,F,4.96 ,1.30 ,4.04 ,1.20 ,5.13 ,2.05 ,4.08 ,2.00 ,2.42 ,1.53 ,2.46 ,2.15 
IADS,Jet,Transport,400,FH,5.88 ,1.62 ,5.20 ,1.66 ,5.32 ,2.21 ,3.60 ,2.29 ,4.24 ,2.85 ,2.08 ,2.00 
IADS,Helicopter1,Transport,403,HF,5.82 ,1.37 ,4.64 ,1.29 ,4.95 ,1.84 ,3.91 ,1.95 ,3.91 ,2.31 ,2.09 ,1.69 
IADS,Helicopter2,Transport,410,F,6.00 ,1.45 ,4.77 ,1.31 ,5.68 ,1.99 ,4.27 ,2.21 ,3.55 ,2.32 ,2.32 ,1.67 
IADS,Countdown,Scenarios,415,FH,5.82 ,1.62 ,5.23 ,2.09 ,5.18 ,2.32 ,2.86 ,2.53 ,3.32 ,2.32 ,1.68 ,1.64 
IADS,CarHorns,Transport,420,F,6.64 ,1.18 ,2.95 ,1.76 ,4.14 ,2.51 ,4.55 ,2.52 ,2.23 ,1.88 ,2.23 ,2.22 
IADS,TireSkids,Transport,422,F,6.71 ,1.37 ,2.67 ,1.13 ,3.13 ,2.11 ,6.38 ,1.95 ,1.92 ,1.47 ,3.00 ,2.40 
IADS,Injury,People,423,F,6.46 ,1.10 ,3.25 ,1.51 ,3.38 ,2.06 ,4.96 ,2.46 ,2.58 ,2.15 ,3.54 ,2.64 
IADS,CarWreck,Transport,424,F,6.72 ,2.01 ,2.04 ,1.17 ,2.64 ,2.51 ,7.20 ,1.83 ,1.80 ,1.19 ,5.28 ,2.92 
IADS,Train,Transport,425,H,5.64 ,1.41 ,5.60 ,1.15 ,5.32 ,2.30 ,2.96 ,1.93 ,4.28 ,2.21 ,1.80 ,1.38 
IADS,Wind10,Nature,500,F,5.00 ,1.48 ,3.77 ,0.97 ,4.14 ,1.70 ,5.00 ,2.07 ,2.18 ,1.56 ,3.77 ,2.43 
IADS,PlaneCrash,Transport,501,F,6.55 ,1.14 ,3.41 ,1.37 ,3.50 ,1.37 ,6.09 ,1.90 ,2.05 ,1.84 ,4.73 ,2.59 
IADS,EngineFailure,Transport,502,U,5.20 ,1.85 ,4.44 ,1.66 ,5.60 ,2.25 ,3.16 ,2.19 ,3.44 ,1.98 ,2.52 ,1.73 
IADS,BikeWreck,Scenarios,600,F,7.16 ,1.46 ,1.68 ,0.80 ,2.00 ,1.44 ,7.92 ,1.38 ,1.16 ,0.47 ,6.76 ,2.13 
IADS,ColonialMusic,Music,601,H,6.95 ,1.21 ,7.23 ,1.41 ,6.86 ,1.13 ,1.68 ,0.78 ,7.68 ,1.39 ,1.45 ,0.74 
IADS,Thunderstorm,Nature,602,F,5.29 ,1.78 ,3.58 ,1.86 ,4.29 ,2.29 ,5.21 ,2.13 ,2.08 ,1.32 ,3.92 ,2.78 
IADS,CowboyIndians,Scenarios,610,H,7.04 ,1.37 ,5.79 ,1.91 ,5.25 ,2.01 ,2.54 ,1.82 ,5.04 ,2.42 ,2.00 ,1.74 
IADS,BattleTaps,Scenarios,611,U,6.28 ,1.17 ,3.80 ,1.68 ,4.44 ,2.35 ,4.84 ,2.78 ,3.68 ,2.56 ,4.00 ,2.60 
IADS,AirRaid,Transport,624,F,6.27 ,1.78 ,3.05 ,1.17 ,4.23 ,1.66 ,6.36 ,2.11 ,1.91 ,1.15 ,3.73 ,2.90 
IADS,MayDay,Scenarios,625,F,6.68 ,1.59 ,3.45 ,1.68 ,4.55 ,2.70 ,5.18 ,2.79 ,2.00 ,1.41 ,3.45 ,2.79 
IADS,Explosion,Breaking Sound,626,F,7.32 ,1.76 ,2.73 ,1.45 ,2.50 ,2.02 ,6.73 ,2.12 ,1.45 ,0.74 ,4.18 ,2.58 
IADS,Rain2,Nature,627,FS,4.14 ,1.46 ,4.59 ,1.37 ,4.82 ,2.17 ,3.77 ,2.31 ,2.68 ,1.96 ,3.68 ,1.99 
IADS,Rain3,Nature,698,F,5.91 ,1.34 ,4.64 ,1.22 ,4.68 ,1.84 ,4.82 ,2.11 ,2.77 ,1.77 ,2.86 ,1.67 
IADS,Bomb15,Breaking Sound,699,F,6.80 ,1.80 ,3.04 ,1.57 ,2.76 ,1.59 ,6.80 ,1.76 ,2.60 ,1.96 ,4.24 ,2.45 
IADS,Toilet,Daily Routine Sound,700,U,4.04 ,1.57 ,4.33 ,1.20 ,6.33 ,2.18 ,1.92 ,1.18 ,2.13 ,1.54 ,1.63 ,1.06 
IADS,Fan,Daily Routine Sound,701,HF,5.91 ,1.27 ,4.50 ,1.14 ,5.27 ,1.61 ,3.64 ,2.04 ,2.95 ,1.36 ,2.18 ,1.79 
IADS,Belch,People,702,FS,6.09 ,1.87 ,1.36 ,0.66 ,4.77 ,2.29 ,3.36 ,2.48 ,1.59 ,1.33 ,2.82 ,1.97 
IADS,BusySignal,Daily Routine Sound,703,FS,6.00 ,1.90 ,3.36 ,1.33 ,4.09 ,2.16 ,4.36 ,2.59 ,1.64 ,1.00 ,3.59 ,2.42 
IADS,Phone1,Daily Routine Sound,704,FH,6.54 ,1.89 ,4.42 ,1.28 ,5.54 ,2.34 ,3.21 ,1.86 ,2.63 ,1.76 ,1.92 ,1.47 
IADS,Phone2,Daily Routine Sound,705,H,4.14 ,1.36 ,5.82 ,1.37 ,6.59 ,1.33 ,1.73 ,0.70 ,4.23 ,2.47 ,1.64 ,0.85 
IADS,War,Scenarios,706,F,6.14 ,1.28 ,4.05 ,1.50 ,4.64 ,1.99 ,5.05 ,2.57 ,2.73 ,1.96 ,3.27 ,2.45 
IADS,Clock3,Daily Routine Sound,708,U,2.86 ,1.78 ,4.73 ,1.20 ,5.86 ,2.49 ,3.27 ,2.47 ,2.45 ,1.65 ,2.36 ,1.68 
IADS,AlarmClock,Daily Routine Sound,709,FH,7.58 ,1.28 ,3.67 ,1.58 ,5.08 ,1.95 ,3.33 ,2.14 ,2.63 ,1.84 ,2.13 ,1.80 
IADS,Cuckoo,Daily Routine Sound,710,H,6.27 ,1.45 ,5.55 ,1.63 ,6.00 ,1.85 ,2.50 ,1.87 ,5.45 ,2.02 ,1.86 ,1.64 
IADS,Siren1,Transport,711,F,7.41 ,1.05 ,3.23 ,1.27 ,3.95 ,2.17 ,5.77 ,2.20 ,1.95 ,1.13 ,3.68 ,2.03 
IADS,Buzzer,Daily Routine Sound,712,F,7.75 ,1.15 ,2.54 ,1.25 ,3.33 ,2.30 ,6.88 ,1.70 ,1.71 ,1.08 ,2.38 ,2.02 
IADS,Sirens,Transport,713,F,6.68 ,1.25 ,3.82 ,1.92 ,4.91 ,2.35 ,4.73 ,2.75 ,2.09 ,1.85 ,2.55 ,2.28 
IADS,Siren2,Transport,714,F,6.68 ,1.04 ,3.77 ,1.60 ,4.68 ,1.99 ,4.27 ,2.49 ,3.05 ,2.03 ,2.82 ,1.71 
IADS,Alarm4,Daily Routine Sound,715,F,6.23 ,2.14 ,3.82 ,1.30 ,4.64 ,2.57 ,4.05 ,2.42 ,2.77 ,1.69 ,2.91 ,2.27 
IADS,SlotMachine1,Electric sound,716,H,6.64 ,1.71 ,6.09 ,1.93 ,6.05 ,1.99 ,1.45 ,0.86 ,6.32 ,2.15 ,1.77 ,1.72 
IADS,SlotMachine2,Electric sound,717,H,6.23 ,0.81 ,5.68 ,1.46 ,5.27 ,1.93 ,1.50 ,0.86 ,6.05 ,1.65 ,1.82 ,1.26 
IADS,DentistDrill,Daily Routine Sound,719,F,5.76 ,2.13 ,2.40 ,1.55 ,3.76 ,2.50 ,5.40 ,2.86 ,1.92 ,1.44 ,3.52 ,2.54 
IADS,BrushTeeth,Daily Routine Sound,720,F,5.71 ,1.73 ,3.25 ,1.36 ,4.83 ,2.01 ,3.42 ,2.45 ,2.17 ,1.24 ,1.88 ,1.73 
IADS,Beer,Daily Routine Sound,721,H,5.18 ,1.82 ,6.50 ,1.54 ,6.73 ,1.86 ,1.59 ,0.96 ,6.05 ,2.03 ,1.36 ,0.66 
IADS,Walking,People,722,FH,4.17 ,2.04 ,5.42 ,1.35 ,6.38 ,1.93 ,3.25 ,2.13 ,2.75 ,1.85 ,1.79 ,1.22 
IADS,Radio5,Daily Routine Sound,723,FH,4.45 ,1.65 ,4.09 ,1.44 ,5.59 ,2.20 ,3.27 ,2.07 ,3.09 ,1.74 ,2.09 ,1.27 
IADS,Chewing,People,724,U,4.73 ,1.83 ,4.27 ,2.05 ,6.00 ,2.18 ,2.82 ,2.15 ,2.41 ,2.30 ,2.27 ,1.83 
IADS,SodaFizz,Daily Routine Sound,725,H,4.29 ,1.92 ,6.79 ,1.64 ,7.00 ,2.02 ,1.46 ,1.02 ,5.17 ,2.50 ,1.46 ,0.59 
IADS,CorkPour,Daily Routine Sound,726,H,4.84 ,2.25 ,7.04 ,1.46 ,7.24 ,1.88 ,1.60 ,1.19 ,6.00 ,2.36 ,1.56 ,0.92 
IADS,Paper1,Daily Routine Sound,728,U,4.54 ,1.61 ,4.46 ,1.32 ,6.38 ,2.10 ,2.50 ,1.77 ,2.71 ,1.71 ,1.92 ,1.35 
IADS,Paper2,Daily Routine Sound,729,U,5.58 ,1.18 ,4.17 ,1.34 ,5.13 ,2.21 ,3.04 ,2.12 ,3.00 ,2.02 ,2.63 ,2.12 
IADS,GlassBreak,Daily Routine Sound,730,F,6.36 ,1.53 ,3.68 ,1.09 ,5.00 ,1.72 ,4.23 ,1.90 ,2.95 ,1.89 ,2.91 ,2.02 
IADS,Crash5,Breaking Sound,732,FS,6.60 ,1.61 ,2.96 ,1.72 ,3.28 ,2.11 ,5.96 ,2.37 ,2.00 ,1.44 ,4.72 ,2.37 
IADS,NativeSong,People,802,H,6.14 ,1.55 ,6.23 ,1.45 ,6.05 ,2.13 ,2.68 ,2.01 ,6.77 ,1.95 ,1.55 ,0.86 
IADS,Bugle,Music,808,H,7.00 ,1.29 ,7.17 ,1.31 ,5.71 ,2.01 ,1.46 ,0.66 ,7.21 ,1.86 ,1.13 ,0.34 
IADS,Harp2,Music,809,H,4.96 ,2.01 ,7.33 ,1.27 ,5.88 ,2.07 ,1.63 ,1.17 ,6.25 ,1.51 ,1.42 ,0.65 
IADS,Beethoven,Music,810,H,6.00 ,2.17 ,7.83 ,1.01 ,4.71 ,2.18 ,1.50 ,0.72 ,7.00 ,1.69 ,1.88 ,1.08 
IADS,Bach,Music,811,H,5.77 ,1.66 ,7.86 ,0.99 ,6.09 ,2.27 ,1.82 ,1.40 ,5.86 ,2.17 ,3.09 ,2.33 
IADS,Choir,People,812,U,4.50 ,1.82 ,6.00 ,1.48 ,5.27 ,2.07 ,3.36 ,2.59 ,4.09 ,2.24 ,3.45 ,2.20 
IADS,Wedding,Music,813,H,5.18 ,2.06 ,6.32 ,2.10 ,6.41 ,2.30 ,2.14 ,1.88 ,5.86 ,2.27 ,3.05 ,2.13 
IADS,RockNRoll,Music,815,H,8.00 ,1.02 ,7.32 ,1.55 ,5.73 ,2.00 ,2.09 ,1.34 ,7.41 ,1.79 ,1.09 ,0.29 
IADS,Guitar2,Music,816,H,5.29 ,2.10 ,7.13 ,1.36 ,5.17 ,1.83 ,1.88 ,1.30 ,5.29 ,2.44 ,3.42 ,2.12 
IADS,Bongos,Music,817,H,7.63 ,1.44 ,6.96 ,1.12 ,5.71 ,2.24 ,1.92 ,1.18 ,7.38 ,1.28 ,1.25 ,0.53 
IADS,FunkMusic2,Music,820,H,6.50 ,1.64 ,6.88 ,1.03 ,6.04 ,1.57 ,1.67 ,0.76 ,6.79 ,1.64 ,1.50 ,0.66 
IADS,BagPipes,Music,826,H,5.73 ,1.32 ,7.14 ,1.21 ,6.27 ,1.55 ,1.86 ,1.21 ,6.14 ,1.96 ,1.95 ,1.70 
IADS,Electricity,Daily Routine Sound,910,F,5.86 ,1.73 ,3.00 ,2.07 ,4.27 ,2.31 ,5.41 ,2.24 ,2.64 ,2.13 ,2.68 ,1.81 
